Sex,AgeGroup,patient_rate_per_1000
Female,0-4 years,6
Female,5-11 years,57
Female,12-17 years,151
Female,18-24 years,195
Female,25-34 years,186
Female,35-44 years,163
Female,45-54 years,137
Female,55-64 years,111
Female,65-74 years,79
Female,75-84 years,60
Female,85 years and over,35
Male,0-4 years,8
Male,5-11 years,61
Male,12-17 years,80
Male,18-24 years,98
Male,25-34 years,107
Male,35-44 years,104
Male,45-54 years,91
Male,55-64 years,68
Male,65-74 years,45
Male,75-84 years,34
Male,85 years and over,26
